epoch,loss,lr,val_loss
0,0.297862708568573,0.001,0.3453749120235443
1,0.19331081211566925,0.001,0.20214438438415527
2,0.14070716500282288,0.001,0.19047383964061737
3,0.10497800260782242,0.001,0.1923290640115738
4,0.08154432475566864,0.001,0.18355868756771088
5,0.05729654058814049,0.001,0.1856951266527176
6,0.03761458769440651,0.001,0.18357224762439728
7,0.024401381611824036,0.001,0.17541614174842834
8,0.015365082770586014,0.001,0.21757452189922333
9,0.010297771543264389,0.001,0.17554771900177002
10,0.005840486381202936,0.001,0.21136677265167236
11,0.0032299146987497807,0.001,0.19049620628356934
12,0.0020475462079048157,0.001,0.18989711999893188
13,0.0013660718686878681,0.001,0.20053544640541077
14,0.0010434931609779596,0.001,0.1985437273979187
15,0.0009312717011198401,0.000100000005,0.20226958394050598
16,0.0007391961407847703,0.000100000005,0.20070457458496094
