I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
58.56,39.04,-19.52,-48.8,39.04,9.76,-126.88,78.08,87.84,175.68,39.04,102.48
58.56,39.04,-19.52,-48.8,39.04,9.76,-131.76,78.08,87.84,170.8,39.04,97.6
58.56,43.92,-14.64,-48.8,34.16,14.64,-131.76,78.08,87.84,170.8,39.04,97.6
63.44,48.8,-14.64,-53.68,39.04,14.64,-131.76,87.84,92.72,180.56,39.04,107.36
73.2,48.8,-24.4,-58.56,48.8,9.76,-112.24,92.72,97.6,195.2,39.04,107.36
53.68,39.04,-14.64,-43.92,34.16,9.76,-112.24,112.24,117.12,204.96,43.92,92.72
34.16,29.28,-4.88,-29.28,19.52,9.76,-97.6,161.04,190.32,229.36,39.04,82.96
29.28,24.4,-4.88,-24.4,14.64,9.76,-87.84,239.12,273.28,278.16,24.4,53.68
29.28,14.64,-14.64,-19.52,19.52,0,-73.2,307.44,331.84,307.44,4.88,34.16
29.28,24.4,-4.88,-24.4,14.64,9.76,-58.56,336.72,366,322.08,-4.88,14.64
48.8,24.4,-24.4,-34.16,34.16,0,-43.92,366,409.92,361.12,-4.88,0
48.8,24.4,-24.4,-34.16,34.16,0,-39.04,419.68,483.12,419.68,-14.64,-29.28
34.16,14.64,-19.52,-24.4,24.4,-4.88,-19.52,507.52,595.36,497.76,-34.16,-68.32
14.64,0,-14.64,-4.88,14.64,-9.76,19.52,600.24,732,585.6,-63.44,-122
34.16,24.4,-9.76,-29.28,19.52,4.88,43.92,678.32,854,712.48,-48.8,-146.4
48.8,48.8,0,-48.8,24.4,24.4,53.68,614.88,795.44,800.32,9.76,-136.64
24.4,68.32,43.92,-43.92,-9.76,53.68,48.8,405.04,522.16,829.6,97.6,-97.6
24.4,102.48,78.08,-63.44,-29.28,87.84,34.16,141.52,175.68,834.48,195.2,-43.92
43.92,141.52,97.6,-92.72,-29.28,117.12,0,-92.72,-151.28,883.28,361.12,68.32
53.68,175.68,122,-112.24,-34.16,146.4,-43.92,-444.08,-605.12,956.48,595.36,229.36
34.16,200.08,165.92,-117.12,-68.32,180.56,-112.24,-932.08,-1205.36,961.36,863.76,424.56
24.4,239.12,214.72,-131.76,-97.6,224.48,-190.32,-1410.32,-1864.16,717.36,1044.32,585.6
14.64,273.28,258.64,-141.52,-122,263.52,-253.76,-1761.68,-2498.56,185.44,1127.28,717.36
14.64,302.56,287.92,-156.16,-136.64,292.8,-307.44,-2103.28,-3059.76,-444.08,1190.72,839.36
24.4,326.96,302.56,-175.68,-141.52,312.32,-385.52,-2440,-3455.04,-956.48,1263.92,961.36
29.28,361.12,331.84,-195.2,-151.28,346.48,-448.96,-2757.2,-3757.6,-1415.2,1337.12,1093.12
24.4,419.68,395.28,-219.6,-185.44,405.04,-536.8,-3035.36,-4026,-1883.68,1439.6,1273.68
14.64,483.12,468.48,-248.88,-229.36,473.36,-624.64,-3294,-4260.24,-2347.28,1595.76,1512.8
0,556.32,556.32,-278.16,-278.16,556.32,-741.76,-3538,-4426.16,-2752.32,1737.28,1751.92
-4.88,614.88,619.76,-302.56,-312.32,614.88,-819.84,-3742.96,-4528.64,-3050,1722.64,1898.32
-14.64,658.8,673.44,-322.08,-346.48,663.68,-873.52,-3884.48,-4548.16,-3240.32,1542.08,1952
-4.88,678.32,683.2,-336.72,-346.48,678.32,-927.2,-3996.72,-4504.24,-3294,1410.32,2015.44
4.88,712.48,707.6,-356.24,-351.36,707.6,-976,-4065.04,-4465.2,-3289.12,1293.2,2088.64
19.52,712.48,692.96,-366,-336.72,702.72,-995.52,-4065.04,-4382.24,-3279.36,1015.04,2069.12
43.92,653.92,610,-346.48,-283.04,629.52,-971.12,-3952.8,-4201.68,-3250.08,610,1956.88
68.32,541.68,473.36,-302.56,-204.96,507.52,-946.72,-3801.52,-3996.72,-3240.32,204.96,1825.12
78.08,453.84,375.76,-263.52,-151.28,414.8,-941.84,-3616.08,-3791.76,-3196.4,-156.16,1654.32
73.2,390.4,317.2,-229.36,-122,351.36,-902.8,-3337.92,-3494.08,-3015.84,-434.32,1464
82.96,370.88,287.92,-224.48,-102.48,326.96,-873.52,-3006.08,-3142.72,-2747.44,-663.68,1229.76
112.24,361.12,248.88,-234.24,-68.32,302.56,-893.04,-2698.64,-2806,-2474.16,-780.8,995.52
131.76,326.96,195.2,-229.36,-34.16,258.64,-941.84,-2415.6,-2498.56,-2166.72,-673.44,917.44
141.52,278.16,136.64,-209.84,0,204.96,-990.64,-2186.24,-2254.56,-1898.32,-473.36,951.6
156.16,253.76,97.6,-204.96,29.28,175.68,-1000.4,-1995.92,-2069.12,-1683.6,-287.92,1019.92
190.32,224.48,34.16,-204.96,78.08,126.88,-971.12,-1825.12,-1883.68,-1503.04,-175.68,1005.28
185.44,180.56,-4.88,-180.56,92.72,87.84,-941.84,-1659.2,-1708,-1351.76,-175.68,917.44
156.16,131.76,-24.4,-141.52,87.84,53.68,-917.44,-1503.04,-1527.44,-1200.48,-161.04,863.76
136.64,122,-14.64,-126.88,73.2,53.68,-863.76,-1351.76,-1317.6,-1019.92,-97.6,849.12
122,131.76,9.76,-126.88,53.68,68.32,-814.96,-1200.48,-1117.52,-839.36,-48.8,829.6
126.88,117.12,-9.76,-122,68.32,53.68,-751.52,-1044.32,-932.08,-692.96,-39.04,766.16
131.76,73.2,-58.56,-102.48,92.72,4.88,-649.04,-858.88,-741.76,-561.2,-48.8,644.16
