I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-73.2,-4.88,68.32,39.04,-73.2,29.28,68.32,78.08,53.68,19.52,-9.76,-14.64
-73.2,9.76,82.96,34.16,-78.08,43.92,73.2,87.84,63.44,24.4,-4.88,-9.76
-63.44,9.76,73.2,29.28,-68.32,39.04,63.44,87.84,63.44,34.16,-4.88,-9.76
-63.44,4.88,68.32,29.28,-68.32,34.16,68.32,78.08,58.56,24.4,-9.76,-9.76
-63.44,4.88,68.32,29.28,-68.32,34.16,68.32,78.08,53.68,24.4,-14.64,-14.64
-73.2,-4.88,68.32,39.04,-73.2,29.28,53.68,68.32,48.8,19.52,-14.64,-19.52
-73.2,-9.76,63.44,43.92,-68.32,24.4,53.68,73.2,48.8,24.4,-9.76,-14.64
-63.44,-4.88,58.56,34.16,-63.44,24.4,53.68,68.32,39.04,14.64,-19.52,-24.4
-53.68,0,53.68,29.28,-53.68,24.4,58.56,68.32,43.92,14.64,-19.52,-19.52
-48.8,9.76,58.56,19.52,-53.68,34.16,63.44,73.2,48.8,24.4,-14.64,-19.52
-53.68,9.76,63.44,24.4,-58.56,34.16,73.2,82.96,48.8,24.4,-9.76,-14.64
-43.92,19.52,63.44,14.64,-53.68,39.04,73.2,82.96,58.56,29.28,-9.76,-14.64
-58.56,14.64,73.2,24.4,-68.32,43.92,68.32,97.6,63.44,29.28,-4.88,-9.76
-53.68,14.64,68.32,19.52,-63.44,39.04,63.44,87.84,53.68,29.28,-9.76,-19.52
-58.56,14.64,73.2,24.4,-68.32,43.92,63.44,87.84,53.68,24.4,-9.76,-14.64
-78.08,14.64,92.72,34.16,-87.84,53.68,58.56,82.96,53.68,29.28,-4.88,-9.76
-53.68,14.64,68.32,19.52,-63.44,39.04,53.68,82.96,53.68,29.28,-9.76,-14.64
-34.16,14.64,48.8,9.76,-43.92,29.28,53.68,82.96,48.8,24.4,-14.64,-14.64
-43.92,9.76,53.68,19.52,-48.8,29.28,53.68,82.96,48.8,19.52,-19.52,-14.64
-73.2,-4.88,68.32,39.04,-73.2,29.28,53.68,82.96,48.8,24.4,-14.64,-19.52
-78.08,-4.88,73.2,43.92,-78.08,34.16,63.44,92.72,53.68,24.4,-14.64,-14.64
-63.44,19.52,82.96,24.4,-73.2,48.8,68.32,102.48,63.44,34.16,-4.88,-4.88
-48.8,34.16,82.96,9.76,-68.32,58.56,73.2,107.36,73.2,39.04,0,0
-39.04,39.04,78.08,0,-58.56,58.56,78.08,107.36,73.2,39.04,0,0
-53.68,24.4,78.08,14.64,-68.32,48.8,73.2,97.6,63.44,29.28,-9.76,-4.88
