I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-43.92,-39.04,4.88,43.92,-24.4,-19.52,43.92,34.16,43.92,-43.92,-73.2,97.6
-34.16,-24.4,9.76,29.28,-24.4,-9.76,39.04,24.4,34.16,-53.68,-87.84,82.96
-34.16,-14.64,19.52,24.4,-29.28,0,48.8,29.28,48.8,-53.68,-82.96,87.84
-24.4,-9.76,14.64,19.52,-19.52,0,43.92,34.16,43.92,-48.8,-82.96,82.96
-39.04,-43.92,-4.88,43.92,-19.52,-24.4,43.92,39.04,43.92,-39.04,-82.96,87.84
-43.92,-48.8,-4.88,48.8,-19.52,-29.28,43.92,34.16,39.04,-39.04,-87.84,82.96
-39.04,-34.16,4.88,39.04,-24.4,-14.64,43.92,29.28,43.92,-43.92,-82.96,92.72
-58.56,-39.04,19.52,48.8,-39.04,-9.76,39.04,29.28,34.16,-48.8,-87.84,87.84
-48.8,-24.4,24.4,39.04,-39.04,0,34.16,19.52,24.4,-58.56,-97.6,82.96
-48.8,-24.4,24.4,39.04,-39.04,0,34.16,24.4,29.28,-53.68,-92.72,82.96
-58.56,-53.68,4.88,58.56,-34.16,-24.4,39.04,34.16,34.16,-43.92,-82.96,97.6
-53.68,-48.8,4.88,53.68,-29.28,-24.4,29.28,34.16,29.28,-58.56,-97.6,87.84
-48.8,-43.92,4.88,48.8,-29.28,-19.52,29.28,29.28,34.16,-58.56,-97.6,92.72
-63.44,-48.8,14.64,58.56,-39.04,-19.52,34.16,34.16,39.04,-53.68,-92.72,97.6
-48.8,-34.16,14.64,43.92,-34.16,-9.76,43.92,39.04,48.8,-39.04,-87.84,107.36
-53.68,-43.92,9.76,48.8,-34.16,-19.52,53.68,48.8,53.68,-34.16,-82.96,117.12
-63.44,-58.56,4.88,63.44,-34.16,-29.28,53.68,48.8,53.68,-29.28,-78.08,122
-58.56,-39.04,19.52,48.8,-39.04,-9.76,43.92,34.16,43.92,-43.92,-87.84,117.12
-58.56,-43.92,14.64,53.68,-39.04,-14.64,43.92,29.28,39.04,-48.8,-97.6,117.12
-43.92,-39.04,4.88,43.92,-24.4,-19.52,43.92,34.16,43.92,-48.8,-92.72,126.88
-43.92,-48.8,-4.88,48.8,-19.52,-29.28,39.04,29.28,34.16,-53.68,-97.6,126.88
-39.04,-48.8,-9.76,43.92,-14.64,-29.28,39.04,39.04,43.92,-48.8,-97.6,136.64
-39.04,-48.8,-9.76,43.92,-14.64,-29.28,43.92,39.04,43.92,-48.8,-97.6,126.88
-48.8,-53.68,-4.88,53.68,-24.4,-29.28,34.16,34.16,43.92,-53.68,-102.48,131.76
-34.16,-34.16,0,34.16,-19.52,-19.52,43.92,48.8,58.56,-29.28,-87.84,151.28
-39.04,-29.28,9.76,34.16,-24.4,-9.76,43.92,43.92,53.68,-29.28,-97.6,156.16
-48.8,-48.8,0,48.8,-24.4,-24.4,43.92,34.16,43.92,-34.16,-97.6,151.28
-34.16,-39.04,-4.88,39.04,-14.64,-24.4,48.8,34.16,48.8,-34.16,-87.84,165.92
-29.28,-34.16,-4.88,34.16,-14.64,-19.52,39.04,34.16,53.68,-29.28,-87.84,170.8
-48.8,-58.56,-9.76,53.68,-19.52,-34.16,29.28,29.28,43.92,-43.92,-92.72,165.92
-43.92,-48.8,-4.88,48.8,-19.52,-29.28,29.28,29.28,43.92,-43.92,-97.6,165.92
-48.8,-43.92,4.88,48.8,-29.28,-19.52,43.92,43.92,48.8,-34.16,-87.84,175.68
-39.04,-48.8,-9.76,43.92,-14.64,-29.28,48.8,48.8,53.68,-29.28,-87.84,180.56
-39.04,-48.8,-9.76,43.92,-14.64,-29.28,53.68,53.68,63.44,-24.4,-82.96,185.44
-48.8,-53.68,-4.88,53.68,-24.4,-29.28,43.92,48.8,63.44,-29.28,-82.96,190.32
-39.04,-34.16,4.88,39.04,-24.4,-14.64,39.04,43.92,63.44,-24.4,-82.96,195.2
-34.16,-39.04,-4.88,39.04,-14.64,-24.4,34.16,29.28,48.8,-24.4,-82.96,190.32
-39.04,-29.28,9.76,34.16,-24.4,-9.76,43.92,34.16,48.8,-24.4,-82.96,204.96
-34.16,-34.16,0,34.16,-19.52,-19.52,43.92,34.16,53.68,-24.4,-78.08,209.84
-43.92,-43.92,0,43.92,-24.4,-24.4,43.92,34.16,53.68,-19.52,-82.96,204.96
-39.04,-34.16,4.88,39.04,-24.4,-14.64,39.04,29.28,48.8,-29.28,-82.96,209.84
-48.8,-34.16,14.64,43.92,-34.16,-9.76,39.04,39.04,48.8,-24.4,-78.08,209.84
-53.68,-24.4,29.28,39.04,-43.92,0,29.28,24.4,39.04,-34.16,-97.6,204.96
-43.92,-34.16,9.76,39.04,-29.28,-14.64,34.16,29.28,39.04,-24.4,-97.6,209.84
-43.92,-68.32,-24.4,58.56,-9.76,-48.8,43.92,34.16,48.8,-19.52,-82.96,219.6
-39.04,-63.44,-24.4,53.68,-9.76,-43.92,48.8,39.04,53.68,-14.64,-78.08,224.48
-19.52,-39.04,-19.52,29.28,0,-29.28,39.04,29.28,43.92,-14.64,-82.96,219.6
-29.28,-43.92,-14.64,39.04,-9.76,-29.28,39.04,29.28,39.04,-14.64,-78.08,239.12
-24.4,-34.16,-9.76,29.28,-9.76,-24.4,29.28,29.28,39.04,-19.52,-82.96,234.24
-24.4,-24.4,0,24.4,-14.64,-14.64,34.16,24.4,39.04,-24.4,-82.96,234.24
-24.4,-34.16,-9.76,29.28,-9.76,-24.4,34.16,19.52,34.16,-29.28,-82.96,234.24
-9.76,-34.16,-24.4,24.4,4.88,-29.28,24.4,19.52,34.16,-39.04,-87.84,229.36
-24.4,-43.92,-19.52,34.16,-4.88,-34.16,29.28,19.52,24.4,-39.04,-92.72,229.36
-34.16,-53.68,-19.52,43.92,-9.76,-39.04,39.04,29.28,34.16,-19.52,-82.96,244
-53.68,-68.32,-14.64,63.44,-19.52,-43.92,34.16,29.28,39.04,-19.52,-82.96,244
