I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
73.2,141.52,68.32,-107.36,0,102.48,34.16,97.6,-4.88,9.76,-39.04,39.04
19.52,151.28,131.76,-82.96,-58.56,141.52,48.8,107.36,9.76,29.28,-14.64,53.68
-19.52,146.4,165.92,-63.44,-92.72,156.16,53.68,117.12,19.52,39.04,-4.88,68.32
4.88,136.64,131.76,-68.32,-63.44,131.76,39.04,102.48,4.88,29.28,-14.64,58.56
19.52,131.76,112.24,-73.2,-48.8,122,24.4,82.96,-9.76,9.76,-34.16,48.8
9.76,136.64,126.88,-73.2,-58.56,131.76,39.04,97.6,4.88,24.4,-14.64,63.44
14.64,136.64,122,-73.2,-53.68,126.88,34.16,92.72,0,19.52,-19.52,58.56
0,131.76,131.76,-63.44,-68.32,131.76,39.04,97.6,4.88,24.4,-14.64,63.44
0,141.52,141.52,-68.32,-73.2,141.52,39.04,102.48,9.76,29.28,-9.76,63.44
9.76,131.76,122,-68.32,-58.56,126.88,39.04,97.6,19.52,34.16,-4.88,63.44
39.04,126.88,87.84,-82.96,-24.4,107.36,24.4,87.84,9.76,19.52,-14.64,53.68
48.8,146.4,97.6,-97.6,-24.4,122,29.28,87.84,14.64,34.16,-4.88,58.56
39.04,131.76,92.72,-82.96,-29.28,112.24,24.4,92.72,19.52,43.92,0,63.44
34.16,131.76,97.6,-82.96,-34.16,112.24,24.4,97.6,19.52,43.92,4.88,63.44
29.28,136.64,107.36,-82.96,-39.04,122,24.4,97.6,24.4,43.92,4.88,68.32
29.28,126.88,97.6,-78.08,-34.16,112.24,24.4,102.48,24.4,48.8,14.64,73.2
39.04,126.88,87.84,-82.96,-24.4,107.36,24.4,102.48,24.4,39.04,9.76,73.2
29.28,107.36,78.08,-68.32,-24.4,92.72,29.28,102.48,29.28,43.92,4.88,63.44
19.52,92.72,73.2,-53.68,-29.28,82.96,29.28,107.36,34.16,48.8,9.76,68.32
24.4,102.48,78.08,-63.44,-29.28,87.84,34.16,112.24,48.8,58.56,19.52,73.2
19.52,97.6,78.08,-58.56,-29.28,87.84,29.28,112.24,48.8,63.44,19.52,73.2
19.52,102.48,82.96,-58.56,-34.16,92.72,39.04,122,58.56,73.2,29.28,78.08
29.28,97.6,68.32,-63.44,-19.52,82.96,29.28,117.12,53.68,73.2,29.28,73.2
29.28,87.84,58.56,-58.56,-14.64,73.2,24.4,112.24,48.8,73.2,24.4,73.2
48.8,102.48,53.68,-73.2,-4.88,78.08,19.52,107.36,48.8,68.32,24.4,73.2
34.16,87.84,53.68,-58.56,-9.76,68.32,29.28,122,48.8,73.2,29.28,73.2
29.28,78.08,48.8,-53.68,-9.76,63.44,24.4,122,48.8,73.2,24.4,68.32
34.16,78.08,43.92,-53.68,-4.88,58.56,24.4,112.24,43.92,68.32,14.64,63.44
29.28,63.44,34.16,-43.92,-4.88,48.8,24.4,112.24,48.8,63.44,9.76,58.56
24.4,48.8,24.4,-34.16,0,34.16,24.4,112.24,48.8,63.44,9.76,53.68
19.52,43.92,24.4,-29.28,-4.88,34.16,24.4,112.24,48.8,68.32,4.88,48.8
24.4,58.56,34.16,-39.04,-4.88,43.92,24.4,102.48,43.92,63.44,4.88,48.8
39.04,68.32,29.28,-53.68,4.88,48.8,24.4,112.24,53.68,73.2,14.64,58.56
39.04,63.44,24.4,-48.8,4.88,43.92,19.52,107.36,43.92,63.44,9.76,53.68
39.04,58.56,19.52,-48.8,9.76,39.04,14.64,102.48,34.16,58.56,4.88,43.92
43.92,43.92,0,-43.92,19.52,19.52,14.64,97.6,29.28,48.8,0,34.16
24.4,34.16,9.76,-29.28,4.88,19.52,14.64,102.48,34.16,48.8,-4.88,29.28
24.4,34.16,9.76,-29.28,4.88,19.52,19.52,112.24,34.16,48.8,-4.88,29.28
