22,53,31,-37.5,-4.5,42,98,67,101,86,33,96
23,53,30,-38,-3.5,42.5,99,68,102,85,31,96
25,54,29,-39.5,-2,42.5,99,68,102,85,31,96
25,55,30,-40,-2.5,43.5,100,70,104,86,32,97
25,56,31,-40.5,-3,44.5,100,71,105,88,33,98
25,56,31,-40.5,-3,44.5,101,72,106,89,33,97
26,56,30,-41,-2,43,102,72,107,89,33,97
26,57,31,-41.5,-2.5,44,102,73,108,89,33,97
26,57,31,-41.5,-2.5,44,103,74,109,90,34,97
26,57,31,-41.5,-2.5,44,105,76,111,90,35,97
25,58,33,-41.5,-4,46.5,106,76,112,91,35,98
24,59,35,-41.5,-5.5,47,107,78,113,93,36,99
22,60,38,-41,-8,49,109,79,115,94,37,100
21,60,39,-40.5,-9,50.5,110,81,116,95,37,101
20,60,40,-40,-10,50,111,81,117,96,38,101
20,60,40,-40,-10,50,113,82,119,96,39,101
19,60,41,-39.5,-11,51.5,114,82,119,97,39,101
20,61,41,-40.5,-10.5,51,114,83,120,97,39,100
22,62,40,-42,-9,51,116,83,121,97,39,100
22,62,40,-42,-9,51,117,85,122,98,40,100
21,61,40,-41,-9.5,51.5,118,86,123,99,40,100
21,61,40,-41,-9.5,51.5,119,87,124,99,39,100
22,62,40,-42,-9,51,121,87,124,99,39,99
22,63,41,-42.5,-9.5,52,122,88,125,99,38,99
21,63,42,-42,-10.5,53.5,123,89,126,98,38,99
21,62,41,-41.5,-10,52.5,124,90,126,97,37,99
20,61,41,-40.5,-10.5,51,126,91,127,97,37,98
19,61,42,-40,-11.5,52.5,128,92,127,99,38,99
19,62,43,-40.5,-12,53.5,129,92,128,99,37,98
20,61,41,-40.5,-10.5,51,129,92,128,98,37,97
20,61,41,-40.5,-10.5,51,130,93,128,98,36,96
20,60,40,-40,-10,50,132,93,128,98,35,96
20,60,40,-40,-10,50,133,94,128,97,35,95
20,60,40,-40,-10,50,134,94,128,96,35,95
19,59,40,-39,-10.5,50.5,136,94,127,96,34,94
19,58,39,-38.5,-10,49.5,136,94,126,94,32,93
19,58,39,-38.5,-10,49.5,137,94,126,94,32,92
17,57,40,-37,-11.5,49.5,139,95,126,94,32,93
15,56,41,-35.5,-13,49.5,140,95,126,93,32,93
17,56,39,-36.5,-11,48.5,141,95,125,92,30,92
17,55,38,-36,-10.5,47.5,141,95,123,90,29,90
17,54,37,-35.5,-10,46.5,142,95,122,89,27,89
15,53,38,-34,-11.5,46.5,144,95,122,88,27,89
15,52,37,-33.5,-11,45.5,145,95,120,87,26,88
14,50,36,-32,-11,43,146,95,118,85,24,87
14,49,35,-31.5,-10.5,42,147,94,116,83,23,86
14,48,34,-31,-10,41,148,94,115,81,23,86
13,47,34,-30,-10.5,41.5,148,93,113,79,21,85
12,45,33,-28.5,-10.5,39,149,93,111,77,20,83
13,44,31,-28.5,-9,38.5,150,92,108,75,18,82
14,42,28,-28,-7,35,150,91,105,73,16,80
14,41,27,-27.5,-6.5,34,150,90,102,70,14,79
13,39,26,-26,-6.5,33.5,150,89,99,68,13,77
13,38,25,-25.5,-6,32.5,149,87,96,66,11,76
15,37,22,-26,-3.5,30.5,148,86,93,63,9,75
15,35,20,-25,-2.5,28.5,147,84,90,61,8,74
15,33,18,-24,-1.5,26.5,145,82,86,58,6,73
14,32,18,-23,-2,25,144,80,83,56,5,72
14,31,17,-22.5,-1.5,24,143,77,80,53,4,73
14,31,17,-22.5,-1.5,24,142,75,76,51,3,72
13,29,16,-21,-1.5,23.5,139,73,74,49,2,71
14,27,13,-20.5,1.5,20,137,72,70,47,0,69
14,26,12,-20,1,19,135,69,67,45,0,68
15,27,12,-21,2.5,20.5,132,67,64,43,-1,69
17,26,9,-21.5,4,18.5,128,64,60,41,-1,68
17,25,8,-21,5.5,17.5,126,62,58,39,-2,66
17,26,9,-21.5,4,18.5,124,60,55,38,-2,66
19,25,6,-22,7.5,16.5,120,57,53,37,-3,66
21,25,4,-23,9.5,15.5,117,55,50,35,-5,67
21,25,4,-23,9.5,15.5,114,53,48,34,-5,68
21,24,3,-22.5,9,14.5,112,52,46,33,-5,68
20,23,3,-21.5,9.5,13,108,50,44,32,-5,68
22,24,2,-23,10,13,105,48,42,31,-5,67
24,24,0,-24,12,12,103,46,40,30,-5,67
25,23,-2,-24,14.5,11.5,100,45,39,30,-5,67
26,23,-3,-24.5,15.5,10,97,44,37,29,-5,68
27,23,-4,-25,16.5,10.5,95,42,36,30,-4,69
27,23,-4,-25,16.5,10.5,93,41,35,30,-4,69
28,24,-4,-26,16,10,91,40,34,29,-3,69
31,24,-7,-27.5,19,9.5,89,38,33,29,-4,69
31,23,-8,-27,20.5,8.5,86,37,32,28,-5,68
31,23,-8,-27,20.5,8.5,84,36,31,28,-6,69
33,23,-10,-28,22.5,7.5,83,36,30,27,-6,69
34,24,-10,-29,22,7,82,35,30,26,-5,70
34,24,-10,-29,22,7,81,35,30,27,-4,71
33,24,-9,-28.5,21,8.5,79,34,29,28,-3,71
34,23,-11,-28.5,23.5,6,78,33,28,27,-3,71
33,23,-10,-28,22.5,7.5,77,33,28,28,-2,72
31,23,-8,-27,20.5,8.5,77,33,29,29,0,73
32,24,-8,-28,20,8,77,32,29,29,0,74
34,24,-10,-29,22,7,75,31,28,28,0,73
33,23,-10,-28,22.5,7.5,74,31,28,29,0,73
32,23,-9,-27.5,21.5,7,74,31,28,29,0,73
33,23,-10,-28,22.5,7.5,73,31,28,29,0,73
33,23,-10,-28,22.5,7.5,73,30,28,29,0,73
34,23,-11,-28.5,23.5,6,72,29,27,28,0,73
34,22,-12,-28,23,5,72,29,27,28,0,72
34,22,-12,-28,23,5,72,29,26,28,0,72
35,23,-12,-29,24.5,6.5,71,29,26,28,0,73
34,23,-11,-28.5,23.5,6,71,29,27,29,0,72
33,22,-11,-27.5,22,6.5,71,29,27,29,0,72
33,22,-11,-27.5,22,6.5,71,29,27,30,0,73
31,22,-9,-26.5,20,7.5,71,29,28,30,0,74
31,22,-9,-26.5,20,7.5,72,28,27,30,0,74
32,21,-11,-26.5,22.5,5,71,28,26,29,0,74
33,21,-12,-27,23.5,5.5,70,27,25,28,0,73
32,21,-11,-26.5,22.5,5,71,28,26,29,0,73
31,22,-9,-26.5,20,7.5,71,28,27,29,0,74
32,22,-10,-27,21,6,71,28,27,30,0,74
32,22,-10,-27,21,6,71,27,27,29,0,74
33,22,-11,-27.5,22,6.5,70,27,26,29,0,74
33,21,-12,-27,23.5,5.5,70,27,26,29,0,74
32,21,-11,-26.5,22.5,5,71,27,26,29,0,73
32,21,-11,-26.5,22.5,5,71,27,26,29,0,74
31,21,-10,-26,21.5,6.5,70,27,26,29,0,74
30,21,-9,-25.5,20.5,6,71,27,27,30,0,74
31,21,-10,-26,21.5,6.5,71,27,27,30,0,74
31,20,-11,-25.5,21,5.5,71,27,26,29,0,73
32,21,-11,-26.5,22.5,5,70,26,25,28,0,71
33,21,-12,-27,23.5,5.5,70,27,26,28,0,72
34,20,-14,-27,24,3,70,27,26,28,0,72
33,19,-14,-26,24.5,3.5,70,27,25,28,0,72
32,19,-13,-25.5,23.5,3,70,26,25,28,-1,72
34,19,-15,-26.5,25.5,2,70,26,25,28,-1,71
34,19,-15,-26.5,25.5,2,70,26,25,28,-1,70
33,20,-13,-26.5,23,4.5,70,26,25,29,-1,71
31,20,-11,-25.5,21,5.5,70,26,25,28,0,72
31,20,-11,-25.5,21,5.5,70,25,25,28,0,73
32,20,-12,-26,22,4,70,25,25,28,0,73
31,21,-10,-26,21.5,6.5,70,26,26,29,0,73
29,21,-8,-25,19.5,7.5,71,27,26,29,1,74
30,20,-10,-25,20,5,71,27,26,28,0,73
29,19,-10,-24,20.5,5.5,71,26,26,28,0,72
28,20,-8,-24,18,6,71,27,27,29,0,73
28,20,-8,-24,18,6,71,27,26,28,0,73
29,19,-10,-24,20.5,5.5,70,26,25,29,0,73
30,19,-11,-24.5,21.5,4,70,26,25,29,0,72
30,19,-11,-24.5,21.5,4,70,26,25,28,0,71
31,20,-11,-25.5,21,5.5,70,26,25,28,0,71
31,20,-11,-25.5,21,5.5,69,26,25,29,0,71
31,20,-11,-25.5,21,5.5,70,26,25,28,0,71
32,20,-12,-26,22,4,70,26,25,27,-1,72
33,21,-12,-27,23.5,5.5,70,25,25,27,-1,72
30,20,-10,-25,20,5,70,26,25,29,0,72
28,19,-9,-23.5,19.5,5,71,26,26,29,0,72
30,20,-10,-25,20,5,70,27,25,28,-1,72
31,20,-11,-25.5,21,5.5,70,26,25,27,-1,71
31,20,-11,-25.5,21,5.5,70,26,25,27,-1,71
31,20,-11,-25.5,21,5.5,70,25,25,28,-1,71
32,21,-11,-26.5,22.5,5,69,25,24,27,-1,71
32,21,-11,-26.5,22.5,5,69,25,24,28,0,71
29,21,-8,-25,19.5,7.5,69,25,25,28,0,72
28,20,-8,-24,18,6,70,25,24,28,0,72
28,20,-8,-24,18,6,70,25,24,29,0,73
28,20,-8,-24,18,6,69,25,24,29,0,73
28,21,-7,-24.5,18.5,7,69,25,24,29,0,73
28,21,-7,-24.5,18.5,7,69,24,24,29,0,72
29,21,-8,-25,19.5,7.5,69,24,23,28,-1,72
28,21,-7,-24.5,18.5,7,69,25,24,28,-1,72
29,20,-9,-24.5,19,6.5,69,24,24,27,-2,71
29,20,-9,-24.5,19,6.5,69,24,24,27,-2,72
30,20,-10,-25,20,5,68,24,24,27,-1,72
